,"action,wealth","advice,greeting","opinion,wealth","religion,family and friends","relationships,opinion","relationships,wealth","relationships,advice","religion,conflict","family and friends,sex and party","career,advice",relationships,"emotion,adlib","existential,wealth","career,adlib","weather,conflict","relationships,emotion","greeting,conflict","weather,wealth","action,opinion","advice,sex and party","wealth,conflict","action,greeting",sex and party,"conflict,sex and party","career,wealth","existential,adlib","action,weather","opinion,weather","opinion,greeting","sex and party,family and friends","career,existential","wealth,greeting",adlib,"farewell,wealth","wealth,sex and party","weather,sex and party","greeting,sex and party","farewell,greeting",greeting,"emotion,existential","relationships,sex and party","adlib,family and friends","emotion,conflict","emotion,action",farewell,"action,sex and party","adlib,weather","emotion,family and friends","existential,sex and party",religion,"relationships,family and friends","existential,opinion","relationships,existential","action,emotion","family and friends,conflict","existential,greeting",career,"adlib,greeting","advice,family and friends","existential,religion","relationships,greeting","advice,weather","greeting,wealth",action,existential,emotion,"action,religion","religion,advice","existential,conflict","sex and party,conflict","action,existential","opinion,existential",weather,"career,greeting","greeting,family and friends","career,relationships",wealth,"relationships,adlib","opinion,advice","action,advice","advice,conflict","action,relationships","adlib,advice","conflict,family and friends","existential,family and friends","adlib,conflict","action,career","relationships,career","emotion,relationships","existential,weather","adlib,existential","emotion,advice","opinion,sex and party","religion,wealth","opinion,conflict","emotion,sex and party","existential,advice",family and friends,"emotion,religion","relationships,weather","action,conflict","career,sex and party","advice,wealth","opinion,family and friends","action,family and friends","religion,sex and party","adlib,wealth","emotion,greeting","adlib,religion","relationships,religion","opinion,religion",conflict,"wealth,family and friends",advice,"career,opinion","adlib,sex and party",opinion,"career,conflict","farewell,conflict","relationships,action","relationships,conflict","emotion,wealth","opinion,adlib","career,family and friends"
956,,,,,,,,,,,She told me her name was Billie Jean,,,,,,,,,,,,,,,,,,,,,,"Forever ever, forever ever",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I put a Rolls and a Royce on my wrist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,,,,,,,,,,,As she caused a scene,,,,,,,,,,,,,,,,,,,,,,Alicia Keys tried to talk some sense to them,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ain't nobody triller than Metro, ain't nobody triller than Scooter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
958,,,,,,,,,,,She's just a girl who claims that I am the one,,,,,,,,,,,,,,,,,,,,,,30 minutes later seeing there's no convincing them,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Bentley put up with no mileage, I do it",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
959,,,,,,,,,,,For 40 days and for 40 nights,,,,,,,,,,,,,,,,,,,,,,The international assholes nah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This money an option, this weed is an option, this lean is an option",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,,,,,,,,,,,But who can stand when she's in demand,,,,,,,,,,,,,,,,,,,,,,Have no fear that they might,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,You paying that price for that punani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
961,,,,,,,,,,,Now you over exposed,,,,,,,,,,,,,,,,,,,,,,Desert me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million dollar renovations to a happy home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
962,,,,,,,,,,,She finally made it. The stars are out tonight. Ooooh weee!,,,,,,,,,,,,,,,,,,,,,,The ROC is still alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yep, then I made myself a smoothie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
963,,,,,,,,,,,She wants the big screen,,,,,,,,,,,,,,,,,,,,,,Everytime I rhyme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Young producer just trying to get his flows off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
964,,,,,,,,,,,She wants it,,,,,,,,,,,,,,,,,,,,,,(Forever and ever!),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[On tour merchandise featuring the Confederate flag imagery],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
965,,,,,,,,,,,"Lookin' in the mirror, """"Aye"""" she must say",,,,,,,,,,,,,,,,,,,,,,For ever ever? for ever ever? ever ever?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Imma stack alotta paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
966,,,,,,,,,,,A gangster she was seekin',,,,,,,,,,,,,,,,,,,,,,Sierra Leone connect to what we go through today,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,We just outcheaah man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
967,,,,,,,,,,,With two then the three can keep a secret,,,,,,,,,,,,,,,,,,,,,,And here's the conflict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trynna make a way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
968,,,,,,,,,,,Rarely Ed Hardy she said the shit was trendy,,,,,,,,,,,,,,,,,,,,,,On a polar rugby it look so nice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Know these hoes be twerkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
969,,,,,,,,,,,Married to the mob like she was Miss Wendy,,,,,,,,,,,,,,,,,,,,,,We going crazy and I always use my best sense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Imma stack alotta paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970,,,,,,,,,,,"Her own, her tone was eccentric",,,,,,,,,,,,,,,,,,,,,,But it don't matter cause I stay on my fresh prince,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,We just outcheaah man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
971,,,,,,,,,,,"Yea that's what we would yell out, yell out",,,,,,,,,,,,,,,,,,,,,,"Victoria's Secret show, they miss me",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trynna make a way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
972,,,,,,,,,,,"You know the name, do gotta spell out or tell bout",,,,,,,,,,,,,,,,,,,,,,Back to the la familia I'm aligned with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is the time that's mine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973,,,,,,,,,,,My crib's spatial and my relationship is interracial,,,,,,,,,,,,,,,,,,,,,,Before I betray them I slit my wrists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,That's fine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
974,,,,,,,,,,,"I don't know where to start, I don't know where to start",,,,,,,,,,,,,,,,,,,,,,"We need you to go deeper than Tay Zonday,""""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It cost Kobe seven digits to pay off Bridgett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975,,,,,,,,,,,"Maybe the chart, maybe the heart",,,,,,,,,,,,,,,,,,,,,,"So many lines, you photograph and it make arms break",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Here go the Henny swig it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,,,,,,,,,,,La La La La La When you gonna go out with Me,,,,,,,,,,,,,,,,,,,,,,I need to just step back and kiss myself,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I get inspired by the stunts to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,,,,,,,,,,,They house is on hill You could be Lauryn Hill,,,,,,,,,,,,,,,,,,,,,,Somebody pour her another cup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I'm tryin' to cut in the movies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,,,,,,,,,,,I'mma go in Def Jam and turn the brights on,,,,,,,,,,,,,,,,,,,,,,I swear until my time is up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"With the gold chains, I throw game at your bitch like handball",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,,,,,,,,,,,"I'm Big L, Notorious, Big Pun, Shawn Carter, Sean Combs and Connery all in one",,,,,,,,,,,,,,,,,,,,,,So shine bright tonight you and I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"All day long man, we back in town",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980,,,,,,,,,,,She feelin on my whoo there right next to a couple boaters,,,,,,,,,,,,,,,,,,,,,,We going crazy and I always use my best sense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"So won't you hook a chew scorns, she tellin you buy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
981,,,,,,,,,,,I swear your artist couldn't see me on his tip toes,,,,,,,,,,,,,,,,,,,,,,But it don't matter cause I stay on my fresh prince,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"But I ain't scared of robbers, why I wear tephlon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982,,,,,,,,,,,You know a lot of girls be...,,,,,,,,,,,,,,,,,,,,,,"Victoria's Secret show, they miss me",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The new Bobby and Whitney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983,,,,,,,,,,,"Baby, you my everything, you all I ever wanted",,,,,,,,,,,,,,,,,,,,,,Back to the la familia I'm aligned with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"‘Cause mami's a rider, and I'm a roller",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984,,,,,,,,,,,Cause she hold me down every time I hit her up,,,,,,,,,,,,,,,,,,,,,,Before I betray them I slit my wrists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SoHo or Tribeca, three hoes, trifecta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
985,,,,,,,,,,,She made me beg for it 'til she give it up,,,,,,,,,,,,,,,,,,,,,,"We need you to go deeper than Tay Zonday,""""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dope money, hope money, Hublot, my watch better",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
986,,,,,,,,,,,"Know you got a roommate, call me when there's no one there",,,,,,,,,,,,,,,,,,,,,,"So many lines, you photograph and it make arms break",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pay homage or K's vomit, ungrateful niggas, I don't like A fuck nigga, that's that shit I don't like (Bang, bang)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987,,,,,,,,,,,Put the key under the mat and you know I be over there (Yup),,,,,,,,,,,,,,,,,,,,,,I need to just step back and kiss myself,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,,,,,,,,,,,And she a patient in my waiting room,,,,,,,,,,,,,,,,,,,,,,Somebody pour her another cup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989,,,,,,,,,,,And until them girls prove it,,,,,,,,,,,,,,,,,,,,,,I swear until my time is up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990,,,,,,,,,,,"I'm the one that never get confused with, cause",,,,,,,,,,,,,,,,,,,,,,So shine bright tonight you and I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991,,,,,,,,,,,"Baby, you my everything, you all I ever wanted",,,,,,,,,,,,,,,,,,,,,,Make you forget the way you felt before,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
992,,,,,,,,,,,Cause she hold me down every time I hit her up,,,,,,,,,,,,,,,,,,,,,,Uh Oh! I'm ready and I'm not afraid to say it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993,,,,,,,,,,,She made me beg for it 'til she give it up,,,,,,,,,,,,,,,,,,,,,,"Your the one, I put the rock on",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
994,,,,,,,,,,,"Now stop, and let me repay you for the week you've been through",,,,,,,,,,,,,,,,,,,,,,"Your the one, I put the rock on",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
995,,,,,,,,,,,Wrap me up in your legs,,,,,,,,,,,,,,,,,,,,,,I can't explain just how much you shine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
996,,,,,,,,,,,"She like, """"How long I been sleep?""""",,,,,,,,,,,,,,,,,,,,,,I'm sharp as razors raised with a heartless nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997,,,,,,,,,,,Girl give it to me,,,,,,,,,,,,,,,,,,,,,,You'd better fall back like someone's there to catch you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998,,,,,,,,,,,Wrap me up in your legs,,,,,,,,,,,,,,,,,,,,,,I love it though,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999,,,,,,,,,,,Wrap me up in your legs,,,,,,,,,,,,,,,,,,,,,,"I love it though, y'know?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,,,,,,,,,,,My uh she was gettin the best of me,,,,,,,,,,,,,,,,,,,,,,I know I’m preaching to the congregation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,,,,,,,,,,,Hard with all these girls just testing me,,,,,,,,,,,,,,,,,,,,,,"I thought I was the asshole, I guess it’s rubbing off",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,,,,,,,,,,,Uh and you gon' question me,,,,,,,,,,,,,,,,,,,,,,"I’m looking at her like this what you really wanted, huh?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,,,,,,,,,,,Cause you my better half (woman laughing),,,,,,,,,,,,,,,,,,,,,,"I hit the Jamaican spot, at the bar, take a seat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,,,,,,,,,,,And these girls just fighting over the rest of me,,,,,,,,,,,,,,,,,,,,,,"I ordered the jerk, she said you are what you eat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,,,,,,,,,,,"Right now it feels so crazy, I know she just some lady",,,,,,,,,,,,,,,,,,,,,,You see I always loved that sense of humor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,,,,,,,,,,,"Cause, you in my soul and system",,,,,,,,,,,,,,,,,,,,,,All that bullshit's for the birds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,,,,,,,,,,,And we gon' take her home with this one,,,,,,,,,,,,,,,,,,,,,,Always hopin' for the worst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,,,,,,,,,,,And I know this much is true,,,,,,,,,,,,,,,,,,,,,,Waiting for me to fuck up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,,,,,,,,,,,"Baby, you have become my addiction, I'm so strung out on you",,,,,,,,,,,,,,,,,,,,,,Chuckin' up them (deuces),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,,,,,,,,,,,I know that we're not together girl but I know everything about your body,,,,,,,,,,,,,,,,,,,,,,I wish you best of luck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,,,,,,,,,,,"Girl I'mma come through, I'mma put it down on you",,,,,,,,,,,,,,,,,,,,,,"I might just put up with the arguing and stay, for real",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,,,,,,,,,,,"Girl I'mma come through, I'mma put it down on you",,,,,,,,,,,,,,,,,,,,,,"Well, girl, that makes two of us; our timing is wrong",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,,,,,,,,,,,"I don't wanna, I don't wanna, I don't wanna mess things up between us",,,,,,,,,,,,,,,,,,,,,,"Yeah, but tell them bitches that you'll always be my missus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,,,,,,,,,,,I know that we're not together girl but I know everything about your body,,,,,,,,,,,,,,,,,,,,,,And the hardest part about the fucking business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,,,,,,,,,,,Girl you love it when I take my tongue and dive in,,,,,,,,,,,,,,,,,,,,,,Rather run around with them nothing-ass bitches then,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,,,,,,,,,,,If you wait too long it'll be too late..,,,,,,,,,,,,,,,,,,,,,,"You gonna be hot a little while, I'ma be rich forever",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,,,,,,,,,,,(Get up - little girl),,,,,,,,,,,,,,,,,,,,,,But when I cut 'em off they always become a nuisance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,,,,,,,,,,,"Your head lost in the stars, you'll never go far",,,,,,,,,,,,,,,,,,,,,,Niggas take my old flows and they take my old swag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,,,,,,,,,,,(No time to lose) It's time for you to read the signs,,,,,,,,,,,,,,,,,,,,,,"I'm stupid, but I won't get my drama on",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,,,,,,,,,,,(Get up - little girl),,,,,,,,,,,,,,,,,,,,,,"The Watch Cost Me 2; your bitch, free",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,,,,,,,,,,,I know what it's like to feel down little girl,,,,,,,,,,,,,,,,,,,,,,"Snakeskin, Dior., that was last spring",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,,,,,,,,,,,We outta here baby,,,,,,,,,,,,,,,,,,,,,,"Make these bitches scream, makes these pussies pop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,,,,,,,,,,,We outta here baby,,,,,,,,,,,,,,,,,,,,,,"My squirt Game, on her face",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,,,,,,,,,,,We outta here baby,,,,,,,,,,,,,,,,,,,,,,Intro :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,,,,,,,,,,,"Talked it then he lived it, spit it then he shit it",,,,,,,,,,,,,,,,,,,,,,Man I been on sum don shit ..am starting to feel like Sean Don,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026,,,,,,,,,,,But only I could come up with some shit like this,,,,,,,,,,,,,,,,,,,,,,Sheesh!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,,,,,,,,,,,"They say, """"He going crazy and we seen this before""""",,,,,,,,,,,,,,,,,,,,,,"Ooh, ain't being funny",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028,,,,,,,,,,,"I'm high up on the line, you could get behind me",,,,,,,,,,,,,,,,,,,,,,"Ooh, baby, that pussy done changed (Done changed)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,,,,,,,,,,,They fit,,,,,,,,,,,,,,,,,,,,,,"Tell me where that pussy gone (Oh, no)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,,,,,,,,,,,"I asked her if she want to hump me, she was like: """"I don't care""""",,,,,,,,,,,,,,,,,,,,,,Cause it don't feel the same no more,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,,,,,,,,,,,That's when she got scared,,,,,,,,,,,,,,,,,,,,,,Yeah yeah yeah yeah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,,,,,,,,,,,She wanted me to be her boyfriend,,,,,,,,,,,,,,,,,,,,,,"It's such a shame cause now the pussy's changed (That pussy changed, yeah)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,,,,,,,,,,,"Then switch up, start filming porn",,,,,,,,,,,,,,,,,,,,,,"It's such a shame (Pussy done changed), that pussy changed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,,,,,,,,,,,Nigga you can keep them two pennies,,,,,,,,,,,,,,,,,,,,,,"Where did ya pussy go? (Oh, no)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,,,,,,,,,,,She just want to show her titties off,,,,,,,,,,,,,,,,,,,,,,[Lil Wayne],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,,,,,,,,,,,"You get me heated when you pop it, baby!",,,,,,,,,,,,,,,,,,,,,,{whispers} Dedication 2...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
